title,source,url,sentiment,summary
"""Trump tenía razón"": el demócrata John Kerry dice que su partido y Biden permitieron el asedio de los migrantes a la frontera de EE.UU.",BBC News,https://www.bbc.com/mundo/articles/c1dn6prg2vyo,neutro,"Fuente de la imagen, Getty Images Pie de foto, John Kerry es un veterano demócrata que fue candidato presidencial en 2004. Información del artículo<ul><li><ul><li>Autor, Anthony Zurcher</li><li>Tít… [+5747 chars]"
Asesor de Putin se refiere a las mentiras sobre Rusia orquestadas por Obama y Biden,RT,https://actualidad.rt.com/actualidad/558391-asesor-putin-refiere-mentiras-rusia-obama-biden,neutro,"El representante especial de la Presidencia rusa para cooperación económica con países extranjeros y director general del Fondo Ruso de Inversiones Directas (RFPI, por sus siglas en ruso), Kiril Dmít… [+2401 chars]"
"Jefa de inteligencia de EE.UU. promete hacer ""todo"" para procesar a los autores del complot 'Russiagate'",RT,https://actualidad.rt.com/actualidad/558393-jefa-inteligencia-eeuu-procesar-complot-russiagate,neutro,"La directora de Inteligencia Nacional de EE.UU., Tulsi Gabbard, ha prometido el domingo al aire de Fox News que hará ""todo lo que pueda"" para procesar al expresidente Barack Obama y a todos los respo… [+2700 chars]"
El exjefe de la CIA podría ser acusado de perjurio ante el Congreso por la supuesta injerencia electoral rusa,RT,https://actualidad.rt.com/actualidad/556951-exjefe-cia-podria-acusado-perjurio,neutro,"El exdirector de la Agencia Central de Inteligencia de EE.UU. (CIA), John Brennan, podría ser acusado de perjurio ante Congreso sobre el reporte del órgano de 2016 en el que Moscú fue acusada de inte… [+3232 chars]"
"""Pruebas abrumadoras"": Obama impulsó la narrativa falsa de la interferencia electoral rusa en 2016",RT,https://actualidad.rt.com/actualidad/558212-gabbard-conspiracion-obama-elecciones-trump-rusia,neutro,"La directora de Inteligencia Nacional de EE.UU., Tulsi Gabbard, ha desclasificado este viernes documentos que revelan ""pruebas abrumadoras"" de cómo, después de que el presidente Donald Trump ganara l… [+3989 chars]"
Exjefes de la CIA y el FBI enfrentan investigación criminal por la ya refutada injerencia electoral rusa,RT,https://actualidad.rt.com/actualidad/557142-exjefes-cia-fbi-enfrentan-investigacion,neutro,"Los exdirectores de la CIA y del FBI, John Brennan y James Comey, están bajo la lupa del FBI por haber impulsado el caso de presuntos vínculos de Donald Trump con Rusia en el marco de la teoría, ya d… [+1473 chars]"
Por qué Trump tiene a Brasil en el punto de mira (y cómo eso puede favorecer a Lula),BBC News,https://www.bbc.com/mundo/articles/cvg8v6ygzn1o,neutro,"Fuente de la imagen, Getty Images Pie de foto, El presidente de Estados Unidos, Donald Trump, y Jair Bolsonaro, el expresidente de Brasil, tienen una relación estrecha. Información del artículo<ul>… [+9168 chars]"
"Trump arremete contra los demócratas: ""Finalmente han cruzado la línea""",RT,https://actualidad.rt.com/actualidad/555761-trump-arremete-democratas-finalmente-linea,neutro,Donald Trump arremetió este miércoles contra varios políticos demócratas después de la victoria de Zohran Mamdani en las primarias demócratas a la alcaldía de Nueva York y propuso una estrategia polí… [+1270 chars]
"Así va la carrera por las elecciones, partido por partido",Nacion.com,https://www.nacion.com/blogs/corrillos-politicos/asi-va-la-carrera-por-las-elecciones-partido-por/5TISGBHVCJBRBDXL7JZQJ3IFXI/story/,neutro,"En todas las casas cuecen habas y en la mía a calderadas, dice el refrán, y eso es lo que está pasando en los partidos políticos en esta antesala de la campaña electoral.Nos hallamos en la etapa en q… [+6514 chars]"
Por qué el enfrentamiento comercial y político de Trump con Lula parece más difícil de desactivar que otros,BBC News,https://www.bbc.com/mundo/articles/cp90jevzly3o,neutro,"Fuente de la imagen, Getty Images Pie de foto, Trump sostuvo que hay una ""caza de brujas"" contra Bolsonaro en Brasil y advirtió que subirá los aranceles al país. Información del artículo<ul><li><ul… [+6851 chars]"
"""Delirio libertario"": Casa Blanca se burla de la propuesta de Musk de crear un nuevo partido",RT,https://actualidad.rt.com/actualidad/556262-delirio-libertario-burlarse-propuesta-musk,neutro,"La propuesta del multimillonario y empresario Elon Musk de crear un nuevo partido en EE.UU. que sea una alternativa al ""unipartidismo demócrata-republicano"" no es más que un ""delirio libertario"", dec… [+2318 chars]"
"Las seis décadas del Teléfono Rojo de la Guerra Fría, ese que ni fue teléfono ni fue rojo",El Mundo,https://www.elmundo.es/la-lectura/2025/06/24/684a9a26e9cf4af9528b456e.html,neutro,"""El rápido zorro marrón saltó sobre la espalda del perro perezoso 123456789"". Ese, en inglés, fue el primer mensaje que envió el famoso Teléfono Rojo… [+11784 chars]"
"Qué busca Petro al celebrar en Colombia una conferencia internacional ""de emergencia"" sobre Gaza e Israel",BBC News,https://www.bbc.com/mundo/articles/cp86p87vyngo,neutro,"Fuente de la imagen, Getty Images Pie de foto, Expertos consultados por BBC Mundo ven más de un propósito en la cumbre sobre Gaza e Israel que acoge Petro en Colombia. Información del artículo<ul><… [+10433 chars]"
"¿Cómo investiga la Casa Blanca ""el mayor escándalo político de la historia"" de EE.UU.?",RT,https://actualidad.rt.com/actualidad/557869-casa-blanca-investiga-mayor-escandalo,neutro,"La Casa Blanca ha abierto una investigación sobre el uso del polémico 'autopen' (máquina de firmar) con el que se firmaron indultos e importantes leyes durante la Administración Biden, informa Fox Ne… [+1452 chars]"
"Anne Hidalgo, alcaldesa de París: ""La batalla del cambio climático se gana o se pierde en las ciudades""",El Mundo,https://www.elmundo.es/papel/el-mundo-que-viene/2025/07/11/68665eb7e4d4d8ac1b8b4584.html,neutro,"La alerta roja sobre París puso el colofón a la semana más calurosa que se recuerda en Francia. Desde su luminoso despacho en el Hôtel de Ville y en las inmediaciones del Sena, la alcaldesa Anne Hida… [+11099 chars]"
La conspiranoia se le vuelve en contra a Trump: el caso Epstein empieza a hacerle daño,Eldiario.es,https://www.eldiario.es/internacional/cronicas-desde-trumplandia/conspiranoia-le-vuelve-trump-caso-epstein-empieza-hacerle-dano_132_12467763.html,neutro,"Pero también tiene la capacidad de arruinarla en muy poco tiempo. “¿Cuánto tiempo tardó Hitler en desmontar la República de Weimar?”, … [+707 chars]"
Nuevo escándalo de corrupción de la ultra Le Pen: más de 700.000 euros,Huffingtonpost.es,https://www.huffingtonpost.es/global/nuevo-escandalo-corrupcion-ultra-le-penmas-700000-euros-desviados.html,neutro,"El partido ultraderechista de Marine Le Pen, la Agrupación Nacional (RN), está siendo investigado junto a otras formaciones de la misma ideología por posibles nuevas irregularidades financieras en el… [+3056 chars]"
El bitcoin supera los 120.000 dólares en un nuevo máximo histórico,Eldiario.es,https://www.eldiario.es/tecnologia/bitcoin-supera-120-000-dolares-nuevo-maximo-historico_1_12462254.html,neutro,"El bitcoin, la criptomoneda de más valor y más conocida del mercado, se impulsaba poco antes del mediodía de este lunes un 3% y firmaba un nuevo máximo histórico en los 123.000 dólares tras haber con… [+3012 chars]"
Zajárova explica por qué Zelenski quiere reunirse con Putin,RT,https://actualidad.rt.com/actualidad/556829-zajarova-nombrar-razones-zelenski-reunirse-putin,neutro,"El líder del régimen de Kiev, Vladímir Zelenski, persigue dos objetivos en su deseo de reunirse personalmente con el presidente de Rusia, Vladímir Putin, expuso la portavoz del Ministerio de Asuntos … [+2091 chars]"
"""Efecto de olla humeante"": Expresidente ucraniano lanza dura advertencia a Zelenski",RT,https://actualidad.rt.com/actualidad/556366-expresidente-ucraniano-lanzar-advertencia-zelenski,neutro,"El líder del régimen de Kiev, Vladímir Zelenski, debe abandonar sus intentos de aferrarse al poder; de lo contrario, los ucranianos perderán la paciencia, declaró el expresidente de Ucrania Piotr Por… [+2402 chars]"
"Nuevo giro en ""el mayor escándalo político"" de EE.UU. por una confesión de Biden",RT,https://actualidad.rt.com/actualidad/557614-nuevo-giro-mayor-escandalo-politico,neutro,"El expresidente de Estados Unidos, Joe Biden, ha reconocido que los indultos que concedió al final de su mandato fueron firmados con uso de 'autopen', si bien aseguró que él tomó ""cada una de las dec… [+2016 chars]"
El chavismo juzgará al yerno de Edmundo González por terrorismo y conspiración,El Mundo,https://www.elmundo.es/internacional/2025/06/24/685a10c8e85ece42418b4579.html,neutro,"El chavismo ha decidido mantener en prisión a Rafael Tudares, yerno de Edmundo González Urrutia, para juzgarle por terrorismo, conspiración y otros delitos (forjamiento, asociación, legitimación y fi… [+2551 chars]"
"El partido de Musk: objetivos, obstáculos y posibilidades de su intento de romper el bipartidismo en EEUU",Huffingtonpost.es,https://www.huffingtonpost.es/global/el-partido-musk-objetivos-obstaculos-posibilidades-intento-romper-bipartidismo-eeuu.html,neutro,Elon Musk se ha enfadado tanto con Donald Trump que hasta quiere hacerle la competencia. El hombre más rico del mundo ha pasado de ser un poderoso verso suelto dentro del Gobierno de Estados Unidos a… [+24520 chars]
La división política en Polonia merma la alianza con Alemania y Francia,Www.abc.es,https://www.abc.es/internacional/division-politica-polonia-merma-alianza-alemania-francia-20250624210216-nt.html,neutro,"«La victoria de Nawrocki es necesaria para llevar a cabo un plan patriótico de transformación de la Unión Europea», decía a finales del mes pasado el primer ministro de Hungría, Vikton Orbán, en la C… [+4711 chars]"
"Rodrigo Duterte , el presidente con licencia para matar",Www.abc.es,https://www.abc.es/internacional/rodrigo-duterte-presidente-licencia-matar-20250626101321-nt.html,neutro,"Cuando sea presidente, les daré a los militares y los policías la siguiente orden: encontrad a esa gente y matadla, y punto». Esta declaración la hizo Rodrigo Duterte durante un acto de c… [+9678 chars]"
¿Quiénes pueden votar en las elecciones primarias presidenciales?,Latercera.com,https://www.latercera.com/servicios/noticia/quienes-pueden-votar-en-las-elecciones-primarias-presidenciales/,neutro,"Este domingo, 29 de junio, es la primera instancia del año en que la ciudadanía acude a sufragar, con motivo de las elecciones primarias presidenciales. Para facilitar el proceso de este domingo, de… [+1257 chars]"
Elecciones primarias: ¿Me pueden dejar como vocal si la mesa no está constituida?,Latercera.com,https://www.latercera.com/servicios/noticia/elecciones-primarias-me-pueden-dejar-como-vocal-si-la-mesa-no-esta-constituida/,neutro,"Este domingo, 29 de junio, son las elecciones primarias presidenciales, instancia en la que se definirá al candidato del oficialismo que estará en la papeleta de noviembre. Se trata de un proceso co… [+1337 chars]"
"Con 99,8% de las mesas constituidas y Boric llamando al progresismo: cómo ha sido el lento proceso eleccionario en imágenes",Latercera.com,https://www.latercera.com/nacional/noticia/con-998-de-las-mesas-constituidas-y-boric-llamando-a-la-unidad-como-ha-sido-el-lento-proceso-eleccionario-en-imagenes/,neutro,"Este domingo 29 de junio se realizan las elecciones primarias del bloque oficialista, jornada clave para definir la candidatura que se enfrentará a la oposición en las elecciones de noviembre. El fr… [+5538 chars]"
La polémica cancelación del programa de Steven Colbert (y por qué Trump dice que está encantado con la decisión de la cadena CBS),BBC News,https://www.bbc.com/mundo/articles/c78ngqe7x0eo,neutro,"Fuente de la imagen, Getty Images Pie de foto, ""Amo absolutamente que hayan despedido a Colbert. Tenía incluso menos talento que ratings"", escribió Donald Trump en Truth Social horas después del anu… [+7628 chars]"
